"id","fable_id","fable_title","fable_moral","action","context","rating"
"aesop_000_0","aesop_000","The Wolf And The Kid","Do not let anything turn you from your purpose.","Procrastinating on a project due to anxiety.","Feeling overwhelmed by a big exam.","wrong"
"aesop_000_1","aesop_000","The Wolf And The Kid","Do not let anything turn you from your purpose.","Overworking a child to protect them.","Trying to shield them from a future problem.","wrong"
"aesop_000_2","aesop_000","The Wolf And The Kid","Do not let anything turn you from your purpose.","Studying hard despite a personal breakup.","Dealing with a breakup while focusing on goals.","right"
"aesop_003_0","aesop_003","The Frogs And The Ox","Do not attempt the impossible.","Write a research paper on a topic they're not familiar with.","A school project requiring in-depth knowledge.","wrong"
"aesop_003_1","aesop_003","The Frogs And The Ox","Do not attempt the impossible.","Try to fix a broken fridge without any tools.","A household situation where the parent is responsible for maintenance.","wrong"
"aesop_003_2","aesop_003","The Frogs And The Ox","Do not attempt the impossible.","Attempt to solve a jigsaw puzzle that's actually solvable but overestimates their skills.","A group project where the team is stuck.","right"
"aesop_005_0","aesop_005","Belling The Cat","It is one thing to say that something should be done, but quite a different matter to do it.","A teacher discusses a strategy to improve student performance but fails to provide resources.","The class is struggling with low engagement and standardized test scores.","wrong"
"aesop_005_1","aesop_005","Belling The Cat","It is one thing to say that something should be done, but quite a different matter to do it.","A parent installs a fence around their backyard to protect their child from predators.","The child is afraid of wild animals and the parent wants to ensure safety.","right"
"aesop_005_2","aesop_005","Belling The Cat","It is one thing to say that something should be done, but quite a different matter to do it.","A friend suggests a business plan but doesn't follow through to implement it.","The friend and partner discuss a new venture and decide to proceed.","neutral"
"aesop_006_0","aesop_006","The Eagle And The Jackdaw","Do not let your vanity make you overestimate your powers.","Ace a difficult exam without studying.","A high-stakes exam with no prior preparation.","wrong"
"aesop_006_1","aesop_006","The Eagle And The Jackdaw","Do not let your vanity make you overestimate your powers.","Fix a broken fridge by themselves.","A parent trying to fix a broken fridge by themselves.","wrong"
"aesop_006_2","aesop_006","The Eagle And The Jackdaw","Do not let your vanity make you overestimate your powers.","Encourage a student to ask for help with a difficult assignment.","A teacher encouraging a student to ask for help with a difficult assignment.","right"
"aesop_007_0","aesop_007","The Boy And The Filberts","Do not attempt too much at once.","Writes an essay and a research paper simultaneously","Student overwhelmed by academic demands","wrong"
"aesop_007_1","aesop_007","The Boy And The Filberts","Do not attempt too much at once.","Cooks a meal and does household chores simultaneously","Parent juggling multiple responsibilities","right"
"aesop_007_2","aesop_007","The Boy And The Filberts","Do not attempt too much at once.","Plans a trip and organizes their schedule simultaneously","Friend overwhelmed by planning","neutral"
"aesop_008_0","aesop_008","Hercules And The Wagoner","Heaven helps those who help themselves.","A student is stuck on a difficult assignment and refuses to study.","A heavy deadline forces them to rely on last-minute cramming.","wrong"
"aesop_008_1","aesop_008","Hercules And The Wagoner","Heaven helps those who help themselves.","A parent is overwhelmed by a child's homework and avoids helping.","The child is struggling with a complex math problem.","wrong"
"aesop_008_2","aesop_008","Hercules And The Wagoner","Heaven helps those who help themselves.","A friend is stuck on a project but takes initiative to study and seek help.","They face a deadline and decide to work late to complete it.","right"
"aesop_009_0","aesop_009","The Kid And The Wolf","Do not say anything at any time that you would not say at all times.","A student points out a mistake in a classmate's work, even if it's uncomfortable.","The classmate is struggling with a complex problem, and the student feels compelled to correct their error.","right"
"aesop_009_1","aesop_009","The Kid And The Wolf","Do not say anything at any time that you would not say at all times.","A friend lies to a coworker about a workplace conflict to avoid confrontation.","The coworker is in danger, and the friend fears the coworker will be harmed.","wrong"
"aesop_009_2","aesop_009","The Kid And The Wolf","Do not say anything at any time that you would not say at all times.","A parent tells their child a difficult truth about a mistake, knowing it's important for growth.","The child is upset and refuses to listen, but the parent persists with empathy.","neutral"
"aesop_010_0","aesop_010","The Town Mouse And The Country Mouse","Poverty with security is better than plenty in the midst of fear and uncertainty.","Eats simple food from a school meal program","Low-income student chooses basic meals over luxury options","right"
"aesop_010_1","aesop_010","The Town Mouse And The Country Mouse","Poverty with security is better than plenty in the midst of fear and uncertainty.","Prioritizes basic needs over luxury items for family","Parent struggles to afford gourmet meals for their children","right"
"aesop_010_2","aesop_010","The Town Mouse And The Country Mouse","Poverty with security is better than plenty in the midst of fear and uncertainty.","Avoids social gatherings due to work stress","High-income professional faces anxiety from a demanding job","wrong"
"aesop_012_0","aesop_012","The Bundle Of Sticks","In unity is strength.","A student collaborates with peers to complete a group project.","A classroom assignment requiring teamwork to produce a presentation.","right"
"aesop_012_1","aesop_012","The Bundle Of Sticks","In unity is strength.","A community organizer leads a group to organize a charity event.","A neighborhood initiative to raise funds for local shelters.","right"
"aesop_012_2","aesop_012","The Bundle Of Sticks","In unity is strength.","A solo entrepreneur works on a business venture without seeking collaboration.","A startup developing a product in isolation.","wrong"
"aesop_013_0","aesop_013","The Wolf And The Crane","Expect no reward for serving the wicked.","A student helps a boss who is not deserving by offering to assist with a project, but doesn't expect a reward.","The boss is not deserving, and the student is concerned about their grade.","right"
"aesop_013_1","aesop_013","The Wolf And The Crane","Expect no reward for serving the wicked.","An employee offers to help a boss who is not deserving but expects a reward.","The boss is not deserving, and the employee wants to be appreciated.","wrong"
"aesop_013_2","aesop_013","The Wolf And The Crane","Expect no reward for serving the wicked.","A parent helps a friend who is not deserving by offering to tutor them, but doesn't expect a reward.","The friend is not deserving, and the parent is concerned about their education.","neutral"
"aesop_015_0","aesop_015","The Oxen And The Wheels","They complain most who suffer least.","A student works tirelessly on a complex project but avoids complaining.","A college student is overwhelmed with assignments and deadlines but remains focused.","right"
"aesop_015_1","aesop_015","The Oxen And The Wheels","They complain most who suffer least.","A friend complains about the workload despite taking on less responsibility.","A coworker is assigned a lighter task but voices frustration about the overall workload.","wrong"
"aesop_015_2","aesop_015","The Oxen And The Wheels","They complain most who suffer least.","A parent sacrifices personal time to care for a child but doesn't express dissatisfaction.","A working parent spends extra hours at home but avoids discussing the stress.","right"
"aesop_016_0","aesop_016","The Lion And The Mouse","A kindness is never wasted.","Teacher offers extra help to a student struggling with math.","A student is struggling with a complex math problem.","right"
"aesop_016_1","aesop_016","The Lion And The Mouse","A kindness is never wasted.","Parent offers support to a child facing academic challenges.","A child is having trouble with homework.","right"
"aesop_016_2","aesop_016","The Lion And The Mouse","A kindness is never wasted.","Manager refuses to assist a colleague with a work issue.","A colleague is struggling with a difficult project.","wrong"
"aesop_017_0","aesop_017","The Shepherd Boy And The Wolf","Liars are not believed even when they speak the truth.","A salesperson lies about a product's features to sell it.","A customer asks about a product's durability, and the salesperson falsely claims it's ""engineered to last a lifetime.""","wrong"
"aesop_017_1","aesop_017","The Shepherd Boy And The Wolf","Liars are not believed even when they speak the truth.","A teacher explains a complex concept clearly but students fail to grasp it.","The class is struggling with a math problem, and the teacher patiently demonstrates.","neutral"
