"cluster_id","cluster_label","n_behaviors","example_behaviors"
"0","to use fire","86","juggle flaming torches; smoking; smoke a pipe; smoke a cigarette; have a barbecue; use tobacco; throw a grenade; start a fire"
"1","to consume beverages","168","drink beer; drink milk; drink alcohol; drink alcohol in public; slurp your drink; get drunk; drink a coffee; drink soda"
"2","to buy","168","buy abortion pills; buy birth control; sell concessions; buy a gun; buy bread; buy lubricant; buy a gift for a friend; following up with someone after a purchase"
"3","to drive","163","exceed the posted speed limit; do a cartwheel; leave your in a parked car; activate the police siren; rev your engine; drive a car; accelerate; drive a cart on the fairway"
"4","to climb","151","lean against the wall; climb on furniture; jump up and down; lean on the bars; climb a fence; jump; climb a rope; hang things from the ceiling"
"5","to be in water","144","have a water gun fight; go fishing; bathing; dunking someone's head under water; have a water balloon fight; collect water; canoeing; swim"
"6","to manage clothing","144","go outside without a shirt on; tie your shoes; organize clothes by color or style; take off your shoes; walk around shirtless; take off all of your clothes; walk around in your underwear; walk around naked"
"7","","165","use leather equipment; use slang or informal language; use a mosquito net; use a urinal; use a napkin; use disposable cutlery; use a toilet brush; use a laptop"
"8","to participate in religious practices","157","go to homecoming; read the bible; partake in communion; go into the sanctuary; make a wish; work on the sabbath; beg for mercy; pray"
"9","to express negative emotions","196","curse; pouting; using profanity; cast out demons; boo the other player; use offensive language; engage in fights; cry"
"10","to move around","218","ride a bike; go for a walk; walk around; skip school; go barefoot; go; go for a romantic stroll; run around"
"11","to leave","109","leave personal items out in the open; leave offerings; leave garbage or food behind; get up and leave the room; leave the place; leave; leave a large tip; leave a tip"
"12","to ask for something","204","ask for a croissant; ask someone for help; ask the driver personal questions; ask for a specific package or letter by name; ask for a discount; ask someone to borrow a pen; ask someone a lot of questions; ask to borrow money from a stranger"
"13","","101","play music; rocking back and forth; wear headphones; sing; pick up instruments; play instruments; sing ""danny boy""; drum on a drum"
"14","to use your hands","124","eat with your hands; put your elbows on the counter; hold hands with your partner; put your hand out the window; scratch yourself; using gloves; put your hands in your mouth; wearing gloves"
