"behavior","cluster_id","cluster_label"
"make sexual innuendos","17","to engage in sexual activities"
"talk about sex","42","to discuss"
"pick flowers","21","to care for plants"
"have long hair","37","to style"
"drink beer","1","to consume beverages"
"get a tattoo of something related to drugs","34","to engage with the art community"
"wear shoes","22","to wear"
"kiss someone","44","to touch someone"
"ride a bike","10","to move around"
"bring drugs","28","to bring items"
"bring your own bags","28","to bring items"
"get a blood test","23","to check"
"go to homecoming","8","to participate in religious practices"
"go outside without a shirt on","6","to manage clothing"
"buy abortion pills","2","to buy"
"use soap","47","to use cosmetics"
"have a water gun fight","5","to be in water"
"talk to yourself","49","to interact"
"read the bible","8","to participate in religious practices"
"watch a movie","38","to look"
"curse","9","to express negative emotions"
"go for a walk","10","to move around"
"drink milk","1","to consume beverages"
"play music","13",""
"watch the sunset","46","to be in the dark"
"sit on the floor","27","to lie on the floor"
"touch someone's face","44","to touch someone"
"sign up for a boxing class","15","to interact with others"
"take a selfie","19","to take photos"
"leave personal items out in the open","11","to leave"
"wear earrings","22","to wear"
"have a coming of age celebration","17","to engage in sexual activities"
"drink alcohol","1","to consume beverages"
"sleep on your side","30","to sleep"
"ask for a croissant","12","to ask for something"
"wear your hat backward","22","to wear"
"wear a helmet","22","to wear"
"write on the walls","34","to engage with the art community"
"discuss the merits of collectivism vs individualism","42","to discuss"
"exceed the posted speed limit","3","to drive"
"partake in communion","8","to participate in religious practices"
"analyze an athlete's performance","23","to check"
"buy birth control","2","to buy"
"store food","25","to serve food"
"make small talk with someone","49","to interact"
"talk about race","42","to discuss"
"do a flip","16","to interact with objects"
"wear a lot of makeup","47","to use cosmetics"
"wear pajamas","22","to wear"
"sleep in the nude","30","to sleep"
"get a tattoo of a communist symbol","34","to engage with the art community"
"drink alcohol in public","1","to consume beverages"
"say a prayer with a child","41","to care for children"
"bring a box of chocolates","28","to bring items"
"enter with a weapon","28","to bring items"
"taunt someone","44","to touch someone"
"sell concessions","2","to buy"
"eat food","31","to eat"
"retrieve something on the floor","27","to lie on the floor"
"show up late to a meeting","49","to interact"
"rocking back and forth","13",""
"wear blue","22","to wear"
"ask someone for help","12","to ask for something"
"eat with your hands","14","to use your hands"
"sweep the floor","27","to lie on the floor"
"eat cereal","31","to eat"
"go into the presidential bedroom","30","to sleep"
"wear heels","22","to wear"
"eat a pastry","31","to eat"
"use leather equipment","7",""
"ask a store employee for help in the restroom","43","to engage in store operations"
"provide wheelchair assistance","15","to interact with others"
"lean against the wall","4","to climb"
"go into the sanctuary","8","to participate in religious practices"
"wear a bikini","22","to wear"
"request crayons and a coloring menu","15","to interact with others"
"belch loudly","39","to make loud noises"
"touch someone's belongings","44","to touch someone"
"bring a cooler","28","to bring items"
"leave offerings","11","to leave"
"lift a footprint from the ground","16","to interact with objects"
"ask the driver personal questions","12","to ask for something"
"put your elbows on the counter","14","to use your hands"
"walk around","10","to move around"
"criticize another person's tattoo","34","to engage with the art community"
"juggle flaming torches","0","to use fire"
"fix a broken appliance","16","to interact with objects"
"ask for advice about safe sex","17","to engage in sexual activities"
"wear revealing clothes","22","to wear"
"welcome visitors","15","to interact with others"
"accept gifts from lobbyists","15","to interact with others"
"skip school","10","to move around"
"wear headphones","13",""
"lift a pot of boiling water off the stove","32","to cook"
"charge people for admission","15","to interact with others"
"leave the door open","33","to enter spaces"
"sit quietly","20","to sit"
"do a cartwheel","3","to drive"
"brush your teeth","36","to use the mouth"
"pray out loud","39","to make loud noises"
"hold hands with your partner","14","to use your hands"
"bring in a prostitute","15","to interact with others"
"wear high heels","22","to wear"
"scratch your body","17","to engage in sexual activities"
"masturbate","17","to engage in sexual activities"
"have a baby","41","to care for children"
"climb on furniture","4","to climb"
"talk about suicide","42","to discuss"
"argue with someone","42","to discuss"
"sing","13",""
"chew gum","36","to use the mouth"
"open the cash register","43","to engage in store operations"
"put up a picture of a religious figure","34","to engage with the art community"
"lay in the sun","46","to be in the dark"
"ask for a specific package or letter by name","12","to ask for something"
"read a book","26","to perform tasks"
"have sex in the sandbox","17","to engage in sexual activities"
"buy sti tests","23","to check"
"take out student loans","15","to interact with others"
"give the animals medication","35","to interact with animals"
"wear shorts","22","to wear"
"lift heavy objects","16","to interact with objects"
"wear a speedo","22","to wear"
"wear a miniskirt","22","to wear"
"spin around in circles","45","to dance"
"smoking","0","to use fire"
"sit in the front row","20","to sit"
"pick up garbage","24","to clean"
"tie your shoes","6","to manage clothing"
"yell","39","to make loud noises"
"lie down","20","to sit"
"stay alone","40","to go"
"lean your head on someone shoulder","44","to touch someone"
"make a wish","8","to participate in religious practices"
"give blood","15","to interact with others"
"wear a swim cap","22","to wear"
"pouting","9","to express negative emotions"
"organize clothes by color or style","6","to manage clothing"
"pick up your kids from school","41","to care for children"
"slurp your drink","1","to consume beverages"
"wear a dress","22","to wear"
"laugh","29","to engage in humorous activities"
"laugh loudly","29","to engage in humorous activities"
"pick up instruments","13",""
"go barefoot","10","to move around"
"wiping your nose with your hand","36","to use the mouth"
"put your feet on the benches","20","to sit"
"stay after dark","46","to be in the dark"
"use flash photography","19","to take photos"
"work on the sabbath","8","to participate in religious practices"
"talk about mental health","42","to discuss"
"get drunk","1","to consume beverages"
"analyze data","23","to check"
"take off your shoes","6","to manage clothing"
"beg for mercy","8","to participate in religious practices"
"force someone to attend","15","to interact with others"
"buy a gun","2","to buy"
"using profanity","9","to express negative emotions"
"blow your nose","36","to use the mouth"
"cut metal","16","to interact with objects"
"use the word ""comrade"" to refer to a colleague","49","to interact"
"walk around shirtless","6","to manage clothing"
"train someone on how to use machines","16","to interact with objects"
"eat lunch","31","to eat"
"fall asleep","30","to sleep"
"cook","32","to cook"
"cast out demons","9","to express negative emotions"
"boo the other player","9","to express negative emotions"
"take off all of your clothes","6","to manage clothing"
"watch movies with graphic violence or nudity","17","to engage in sexual activities"
"hug someone","44","to touch someone"
"buy bread","2","to buy"
"do a cannonball","18","to play"
"boo or hiss","39","to make loud noises"
"drink a coffee","1","to consume beverages"
"pray","8","to participate in religious practices"
"maintain and clean the lab equipment","24","to clean"
"play instruments","13",""
"sit on a person's lap","20","to sit"
"fill out a form","26","to perform tasks"
"leave garbage or food behind","11","to leave"
"talk about your ex","42","to discuss"
"use slang or informal language","7",""
"hide under the table","20","to sit"
"sing ""danny boy""","13",""
"play slots","18","to play"
"drum on a drum","13",""
"wear a bindi","22","to wear"
"plant a garden","21","to care for plants"
"block the aisle","43","to engage in store operations"
"lay on the floor and spin around","27","to lie on the floor"
"bring a blanket","28","to bring items"
"use offensive language","9","to express negative emotions"
"make jokes","29","to engage in humorous activities"
"humming","13",""
"flirt with someone","44","to touch someone"
"count the money in the register","43","to engage in store operations"
"talk about death","42","to discuss"
"wear a tank top","22","to wear"
"look someone in the eye","38","to look"
"dry the prints","34","to engage with the art community"
"buy lubricant","2","to buy"
"celebrate holidays","8","to participate in religious practices"
"make noise","39","to make loud noises"
"drink soda","1","to consume beverages"
"go fishing","5","to be in water"
"allow disagreement with the material","42","to discuss"
"bring a weapon","28","to bring items"
"sit down","20","to sit"
"give offerings","15","to interact with others"
"use mouthwash","36","to use the mouth"
"do the splits","17","to engage in sexual activities"
"talk about religion","42","to discuss"
"circumcise boys","17","to engage in sexual activities"
"ring up orders","15","to interact with others"
"have your feet up on a desk","20","to sit"
"ask for a discount","12","to ask for something"
"go","10","to move around"
"bend over to pick something up","16","to interact with objects"
"hook up with someone","44","to touch someone"
"get up and leave the room","11","to leave"
"calmly lay on the grass","20","to sit"
"supervise staff and volunteers","15","to interact with others"
"hold hands with someone","44","to touch someone"
"invite someone to church","8","to participate in religious practices"
"talk about politics","42","to discuss"
"carry a weapon","28","to bring items"
"skip meals","31","to eat"
"smoke a pipe","0","to use fire"
"participate in ceremonies or rituals","8","to participate in religious practices"
"tell someone your political views","42","to discuss"
"buy food","25","to serve food"
"bring a gift","28","to bring items"
"do a crossword puzzle","26","to perform tasks"
"kick the seat in front of you","20","to sit"
"jump up and down","4","to climb"
"leave the seat up","20","to sit"
"use a mosquito net","7",""
"use pesticides","21","to care for plants"
"do a puzzle","16","to interact with objects"
"wear jewelry","22","to wear"
"advocate for higher taxes on the wealthy","15","to interact with others"
"trim your nails","37","to style"
"engage in fights","9","to express negative emotions"
"ask someone to borrow a pen","12","to ask for something"
"kneel down","8","to participate in religious practices"
"curl up in a ball","18","to play"
"have parties with alcohol or drugs","1","to consume beverages"
"have unprotected sex","17","to engage in sexual activities"
"buy a gift for a friend","2","to buy"
"smoke a cigarette","0","to use fire"
"fall in love with a patient","17","to engage in sexual activities"
"prostrate yourself","20","to sit"
"talk about salaries","42","to discuss"
"play with the controls","18","to play"
"reach across the table for food","25","to serve food"
"put on makeup","47","to use cosmetics"
"wear jeans","22","to wear"
"work more than 8 hours in a day","15","to interact with others"
"lean on the bars","4","to climb"
"share a ride with another person","44","to touch someone"
"clean the tables","24","to clean"
"climb a fence","4","to climb"
"make eye contact with someone","38","to look"
"carry a heavy load","28","to bring items"
"cancel an appointment","15","to interact with others"
"bring alcohol","28","to bring items"
"go for a romantic stroll","10","to move around"
"wear open toed shoes","22","to wear"
"wear sunglasses","22","to wear"
"load a firearm","28","to bring items"
"sign a waiver","15","to interact with others"
"walk around in your underwear","6","to manage clothing"
"play tag","18","to play"
"work on your laptop","26","to perform tasks"
"run around","10","to move around"
"sleep","30","to sleep"
"cry","9","to express negative emotions"
"weeding","21","to care for plants"
"leave your in a parked car","3","to drive"
"eat a hot dog","31","to eat"
"go at night","46","to be in the dark"
"ask to see the adult videos","17","to engage in sexual activities"
"wear a revealing outfit","22","to wear"
"write a research paper","26","to perform tasks"
"clap along with the music","13",""
"give someone a shower","44","to touch someone"
"worship","8","to participate in religious practices"
"wear a crop top","22","to wear"
"repair a bathroom","24","to clean"
"talk about money","42","to discuss"
"attend faculty meetings","49","to interact"
"wear casual clothes","22","to wear"
"do a jump shot","18","to play"
"ask someone a lot of questions","12","to ask for something"
"put your hand out the window","14","to use your hands"
"wear makeup","22","to wear"
"skip the line","10","to move around"
"have a barbecue","0","to use fire"
"use a urinal","7",""
"have a conversation with god","49","to interact"
"go alone","40","to go"
"eat a berry","31","to eat"
"ask for a lighter workload","15","to interact with others"
"bring a stroller","28","to bring items"
"enter the main hall","33","to enter spaces"
"wear gold chains","22","to wear"
"jump","4","to climb"
"hide a body","17","to engage in sexual activities"
"attend an event without a chaperone","15","to interact with others"
"spread mulch","21","to care for plants"
"wear flip flops","22","to wear"
"use tobacco","0","to use fire"
"wear a headscarf","22","to wear"
"touch or handle merchandise","16","to interact with objects"
"play music loudly","13",""
"skip a meal","25","to serve food"
"wearing headphones","13",""
"bring up sexual topics","42","to discuss"
"whisper in someone's ear","49","to interact"
"blow dry someone's hair","37","to style"
"talk about marxism","42","to discuss"
"lie on the floor","27","to lie on the floor"
"cook or eat something","31","to eat"
"leave someone by themselves","40","to go"
"throw a tantrum","9","to express negative emotions"
"make loud noises","39","to make loud noises"
"watch television","38","to look"
"flirt","17","to engage in sexual activities"
"move something","16","to interact with objects"
"check the weather conditions","23","to check"
"stand close to someone","44","to touch someone"
"show your midriff","17","to engage in sexual activities"
"baptize someone","8","to participate in religious practices"
"go off alone","40","to go"
"leave the stove on","32","to cook"
"following up with someone after a purchase","2","to buy"
"eat chicken","31","to eat"
"get a braided hairstyle","37","to style"
"build a sand castle","34","to engage with the art community"
"wear revealing clothing","22","to wear"
"change the locks","33","to enter spaces"
"talk about your religion","42","to discuss"
"bring your insurance card","28","to bring items"
"touch the court/field","18","to play"
"watch pornography","17","to engage in sexual activities"
"drink water","1","to consume beverages"
"walk on the grass","10","to move around"
"make faces","29","to engage in humorous activities"
"restock shelves with desired items","43","to engage in store operations"
"prepare the cabin for landing","20","to sit"
"mow the lawn","21","to care for plants"
"buy processed foods","2","to buy"
"bring your own chair","28","to bring items"
"play tennis","18","to play"
"activate the police siren","3","to drive"
"engage in public displays of affection","17","to engage in sexual activities"
"walk around naked","6","to manage clothing"
"put up signs","34","to engage with the art community"
"scream","39","to make loud noises"
"make sudden movements","45","to dance"
"wear a wig","22","to wear"
"drink only water","1","to consume beverages"
"roll your eyes","38","to look"
"refuse treatment","15","to interact with others"
"use your cell phone","48","to use a phone"
"wander around alone","40","to go"
