"id","representation","action","context","agent_role","target_role","source","n_responses","majority_norm","pct_majority"
"scj_0_b2g0c7","Not tipping a bathroom attendant","not tipping a bathroom attendant","","author","other person","scruples_justice","47","Just","1.0"
"scj_1_b26dv4","Not tipping a cashier","not tipping a cashier","","author","other person","scruples_justice","10","Just","1.0"
"scj_2_ahvpkl","Not wanting to tip","not wanting to tip","","author","other person","scruples_justice","14","Just","0.571"
"scj_3_a458fi","Hitting someone on a bike with my car then not paying.","hitting someone on a bike with my car then not paying","","author","other person","scruples_justice","8","Just","0.875"
"scj_4_a81dro","Not wanting my roommates girlfriend to stay rent-free","not wanting my roommates girlfriend to stay rent-free","","author","other person","scruples_justice","6","Just","1.0"
"scj_5_avn536","Questioning what my money will get me at an open bar","questioning what my money will get me at an open bar","","author","other person","scruples_justice","7","Just","0.571"
"scj_6_b0ph6f","WIBTA if I asked my ex to start paying me back now","asking my ex to start paying me back now","","author","other person","scruples_justice","7","Just","1.0"
"scj_7_ag5rl8","Feeling cheated that my parents won't help me pay for college","feeling cheated that my parents won't help me pay for college","","author","other person","scruples_justice","10","Just","0.7"
"scj_9_a99ikh","Not wanting to pay for repairs to my car made without my permission","not wanting to pay for repairs to my car made without my permission","","author","other person","scruples_justice","10","Just","1.0"
"scj_10_a8fuih","Thinking my brother should help pay for the costs of a ticket when I borrowed his car with expired registration and no insurance.","thinking my brother should help pay for the costs of a ticket when I borrowed his car with expired registration and no insurance","","author","brother","scruples_justice","5","Just","1.0"
"scj_11_b19gzn","Giving money which i didn’t earn to a poor woman","giving money which I didn't earn to a poor woman","","author","other person","scruples_justice","10","Just","0.7"
"scj_12_aqq1h3","Thinking it’s unnecessary for my wife to add salad to my vegetarian cooking","thinking it's unnecessary for my wife to add salad to my vegetarian cooking","","author","wife","scruples_justice","27","Unjust","0.889"
"scj_13_apk660","Not paying my roommate for groceries her mom bought without my permission","not paying my roommate for groceries her mom bought without my permission","","author","roommate","scruples_justice","46","Just","1.0"
"scj_14_awcnbi","WIBTA if I refused to babysit for my sister on a pre-arranged day because she never paid me the money she owed me","refusing to babysit for my sister on a pre-arranged day because she never paid me the money she owed me","","author","sister","scruples_justice","5","Unjust","0.6"
"scj_15_a1spxu","WIBTA for asking adults to pay for themselves at my daughter's birthday party? (TIME SENSITIVE)","asking adults to pay for themselves at my daughter's birthday party","","author","daughter","scruples_justice","33","Just","0.727"
"scj_16_b8lvrl","Asking my housekeeper to be paid hourly/stay min. amount of time","asking my housekeeper to be paid hourly/stay min. amount of time","","author","other person","scruples_justice","12","Just","1.0"
"scj_19_a4fblk","Making my room mate pay for gas money","making my room mate pay for gas money","","author","other person","scruples_justice","10","Just","0.9"
"scj_20_b2vp6a","Not being willing to pay on dates.","not being willing to pay on dates","","author","other person","scruples_justice","33","Just","0.636"
"scj_21_9wiu1j","AITA, For picking up my wife's paycheck so that a bill will be paid on time.","picking up my wife's paycheck so that a bill will be paid on time","","author","wife","scruples_justice","7","Just","1.0"
"scj_22_amj1w2","Not wanting to pay my husbands friend for studio recording time","not wanting to pay my husbands friend for studio recording time","","author","other person","scruples_justice","8","Just","0.625"
"scj_23_b7rjv1","WIBTA for refusing to pay my entire share of our heating bill","refusing to pay my entire share of our heating bill","","author","other person","scruples_justice","9","Unjust","0.556"
"scj_25_alhumh","Informing my employers of the raise in minimum wage","informing my employers of the raise in minimum wage","","author","other person","scruples_justice","10","Just","0.9"
"scj_26_b20b93","Not wanting to take care of my sister's kids","not wanting to take care of my sister's kids","","author","sister","scruples_justice","7","Just","0.857"
"scj_27_aj4m95","Wanting new roomie to help pay for utility installation","wanting new roomie to help pay for utility installation","","author","other person","scruples_justice","7","Just","1.0"
"scj_28_aoobk9","If I expect my roommate to pay a share of the internet bill even if she wasn't around to use it","expecting my roommate to pay a share of the internet bill even if she wasn't around to use it","","author","roommate","scruples_justice","7","Just","1.0"
"scj_29_b2evxp","WIBTA if I make my gf pay for the television subscription even though we spilt everything else","making my gf pay for the television subscription even though we spilt everything else","","author","other person","scruples_justice","9","Just","0.889"
"scj_31_awq9p0","AITA. For being pissed at my Fiancée going out to a party getting really drunk while I look after her Daughter and my kids during a family weekend","being pissed at my Fiancée going out to a party getting really drunk while I look after her Daughter and my kids during a family weekend","","author","other person","scruples_justice","11","Unjust","0.545"
"scj_32_ag9pca","Refusing to contribute girlfriends mom half of rent","refusing to contribute girlfriends mom half of rent","","author","other person","scruples_justice","6","Just","1.0"
"scj_33_9u6q4d","Telling my wife I won't try to have kids until she starts trying to take care of herself","telling my wife I won't try to have kids until she starts trying to take care of herself","","author","wife","scruples_justice","6","Unjust","0.667"
